"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"01/05/2016","15:10","Fastnet Spin","Salisbury","2","9/2","4.50","8.09","5.90","-27.07","1000.00","12260.94","3.50","3.50","3.50","1.72","Turf"
"01/05/2016","15:50","Mainstream","Salisbury","1","9/4","2.25","2.76","1.01","-63.41","6.00","117.39","3.75","2.75","3.00","1.69","Turf"
"01/05/2016","15:50","Sir Roderic","Salisbury","3","11/4","2.75","3.38","1.33","-60.65","1000.00","29485.80","5.00","5.00","5.00","1.71","Turf"
"01/05/2016","15:55","Mr Lupton","Hamilton","3","13/8","1.63","2.66","2.64","-0.75","1000.00","37493.98","2.75","2.25","2.10","1.76","Turf"
"01/05/2016","15:55","Sixties Sue","Hamilton","4","11/4","2.75","4.80","3.60","-25.00","1000.00","20733.33","4.33","4.33","5.00","2.06","Turf"
"01/05/2016","16:05","Pinwood","Sligo","2","8/11","0.73","1.77","1.41","-20.34","1000.00","56397.18","3.25","2.25","2.25","1.04","Turf"
"01/05/2016","16:05","Orangey Red","Sligo","1","6/5","1.20","2.33","1.01","-56.65","3.80","63.09","2.75","2.63","2.50","1.03","Turf"
"01/05/2016","16:30","Warp Factor","Hamilton","2","4/1","4.00","6.00","1.58","-73.67","510.00","8400.00","5.50","7.00","6.50","1.78","Turf"
"01/05/2016","17:40","April Eighteen","Sligo","3","16/1","16.00","29.67","26.00","-12.37","1000.00","3270.41","17.00","21.00","21.00","5.91","Turf"
"01/05/2016","17:40","Nudge","Sligo","2","6/4","1.50","2.60","1.81","-30.38","1000.00","38361.54","2.10","2.10","2.10","1.28","Turf"
"02/05/2016","13:45","Lacey's Lane","Beverley","2","15/8","1.88","3.22","2.00","-37.89","1000.00","30955.90","3.50","4.00","4.33","1.28","Turf"
"02/05/2016","13:45","Hestina","Beverley","1","8/13","0.61","1.66","1.01","-39.16","2.00","20.48","1.40","1.29","1.29","1.07","Turf"
"02/05/2016","16:00","Somethingthrilling","Windsor","4","6/4","1.50","2.73","2.12","-22.34","1000.00","36530.04","3.00","2.20","2.38","1.73","Turf"
"02/05/2016","16:00","Hala Madrid","Windsor","3","3/1","3.00","4.27","3.55","-16.86","1000.00","23319.20","6.00","7.00","6.50","2.10","Turf"
"02/05/2016","16:50","Wharane","Bath","3","8/11","0.73","1.73","1.72","-0.58","1000.00","57703.47","2.75","2.25","2.10","1.26","Turf"
"02/05/2016","17:25","Hound Music","Bath","3","9/2","4.50","6.00","3.95","-34.17","1000.00","16566.67","6.00","5.00","4.33","1.94","Turf"
"02/05/2016","17:25","Heartless","Bath","6","11/4","2.75","4.09","3.75","-8.31","1000.00","24349.88","5.50","4.33","3.75","1.69","Turf"
