"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"03/05/2016","19:05","Mic Milano","Ballinrobe","4","6/1","6.00","7.62","7.00","-8.14","1000.00","13023.36","0.00","6.00","6.00","6.00","2.04","Hurdle"
"03/05/2016","19:55","Eurato","Catterick","2","11/4","2.75","3.92","1.07","-72.70","250.00","6277.55","0.00","6.00","6.00","6.50","1.67","Turf"
"04/05/2016","13:45","Plain Talking","Tramore","3","100/30","3.33","4.80","3.95","-17.71","1000.00","20733.33","0.00","4.00","4.00","4.50","1.48","Hurdle"
"05/05/2016","15:30","Breezy Kin","Uttoxeter","7","6/1","6.00","8.20","7.80","-4.88","1000.00","12095.12","0.00","6.00","6.50","5.50","3.28","Hurdle"
"05/05/2016","19:00","Posing","Clonmel","3","9/2","4.50","6.25","4.10","-34.40","1000.00","15900.00","0.00","3.00","3.25","3.50","3.28","Turf"
"07/05/2016","14:50","Light Music","Lingfield","2","11/4","2.75","4.61","1.26","-72.67","1000.00","21591.97","0.00","4.50","4.50","4.50","1.68","A/W"
"10/05/2016","18:25","Distant High","Chepstow","3","9/4","2.25","3.47","1.55","-55.33","1000.00","28718.44","0.00","2.88","2.88","2.88","1.88","Turf"
"14/05/2016","18:00","Magic Money","Uttoxeter","6","9/1","9.00","10.74","4.90","-54.38","1000.00","9210.99","0.00","8.00","7.00","8.00","3.28","Hurdle"
"16/05/2016","18:00","Fear Or Favour","Windsor","1","7/4","1.75","2.86","1.01","-64.69","3.75","31.12","0.00","3.25","3.25","2.88","1.36","Turf"
"17/05/2016","16:30","Freewheel","Lingfield","8","11/4","2.75","4.47","3.95","-11.63","1000.00","22271.36","0.00","6.00","8.00","7.00","1.87","A/W"
"25/05/2016","14:40","Grimley Girl","Market Rasen","3","8/1","8.00","9.38","6.00","-36.03","1000.00","10560.98","0.00","8.00","8.00","7.00","2.63","Hurdle"
"27/05/2016","14:00","Stynes","Bath","4","9/2","4.50","6.60","3.00","-54.55","1000.00","15051.52","0.00","6.00","6.00","6.00","2.36","Turf"
"29/05/2016","16:45","The Mouse Doctor","Naas","2","9/1","9.00","10.40","2.50","-75.96","1000.00","9515.38","0.00","7.50","8.00","8.00","3.39","Turf"
"01/06/2016","17:50","Devils Bride","Punchestown","2","11/2","5.50","6.91","2.74","-60.35","1000.00","14371.78","0.00","4.00","3.50","3.75","2.96","Chase"
"01/06/2016","19:30","Van Gerwen","Ripon","5","7/1","7.00","9.10","8.00","-12.09","1000.00","10889.01","0.00","9.00","11.00","10.00","2.96","Turf"
"02/06/2016","18:50","Golden Pearl","Fairyhouse","2","7/4","1.75","3.25","1.24","-61.85","1000.00","30669.23","0.00","3.50","2.50","2.63","1.65","Turf"
"02/06/2016","18:50","Munshid","Fairyhouse","4","11/8","1.38","2.55","1.76","-30.98","1000.00","39115.69","0.00","2.38","2.75","2.75","1.49","Turf"
"03/06/2016","15:45","Dutch Uncle","Epsom","11","9/2","4.50","6.31","5.60","-11.25","1000.00","15747.86","0.00","5.50","7.00","7.00","2.26","Turf"
"05/06/2016","17:15","Lightening Stricks","Listowel","2","6/1","6.00","7.24","1.34","-81.49","520.00","7082.32","0.00","6.00","7.50","8.00","2.46","Turf"
"10/06/2016","16:40","Dynamic Girl","Sandown","2","6/1","6.00","7.01","1.30","-81.46","1000.00","14165.34","0.00","6.00","7.50","7.50","2.50","Turf"
"10/06/2016","18:00","Call It On","Aintree","3","11/2","5.50","7.49","1.61","-78.50","1000.00","13251.13","0.00","5.00","5.00","5.00","2.88","Hurdle"
"13/06/2016","14:00","Boundsy","Carlisle","4","9/2","4.50","5.96","1.60","-73.15","340.00","5604.70","0.00","7.00","4.50","4.50","2.10","Turf"
"17/06/2016","18:05","Strait Of Zanzibar","Limerick","4","4/1","4.00","6.82","6.20","-9.09","1000.00","14562.76","0.00","8.00","8.00","8.50","2.02","Turf"
"22/06/2016","15:45","Master Blueyes","Salisbury","3","5/2","2.50","3.95","1.82","-53.92","1000.00","25216.46","0.00","4.00","4.00","4.33","2.04","Turf"
"28/06/2016","17:45","Hepworth Marble","Brighton","3","11/4","2.75","4.81","4.00","-16.84","1000.00","20690.02","0.00","4.00","4.00","3.25","1.93","Turf"
"29/06/2016","14:50","Edgar","Worcester","3","3/1","3.00","4.50","2.50","-44.44","1000.00","22122.22","0.00","4.00","4.00","3.75","1.98","Chase"
"30/06/2016","18:05","Shanghai Beauty","Bellewstown","1","100/30","3.33","4.99","1.01","-79.76","27.00","441.08","0.00","3.25","4.33","4.00","2.51","Turf"
"30/06/2016","18:10","Onorina","Epsom","8","8/1","8.00","9.56","4.50","-52.93","1000.00","10360.25","0.10","8.00","8.50","6.00","3.29","Turf"
"01/07/2016","18:05","Tribal Path","Bellewstown","1","5/1","5.00","7.11","1.01","-85.79","9.00","26.58","0.00","4.50","5.00","5.00","2.72","Turf"
"01/07/2016","20:30","Zealous","Haydock","7","3/1","3.00","4.50","4.20","-6.67","1000.00","22122.22","0.00","5.50","5.50","5.50","1.94","Turf"
"04/07/2016","16:25","Lexington Place","Ayr","7","13/2","6.50","8.19","6.00","-26.74","1000.00","12110.01","0.00","4.00","3.50","5.00","2.23","Turf"
"13/07/2016","14:15","Sand Blast","Uttoxeter","2","2/1","2.00","3.45","1.22","-64.64","1000.00","28885.51","0.00","2.75","2.50","2.50","1.39","Hurdle"
"13/07/2016","20:40","Tyrell","Sandown","3","7/2","3.50","4.80","4.30","-10.42","1000.00","20733.33","0.00","4.50","4.50","4.50","1.45","Turf"
"14/07/2016","17:25","Senza Una Donna","Chepstow","3","3/1","3.00","4.94","2.02","-59.11","1000.00","20142.91","0.00","3.75","3.75","5.00","1.42","Turf"
"15/07/2016","15:05","Ruscombe","Newbury","3","11/4","2.75","3.90","2.00","-48.72","1000.00","25541.03","0.00","2.75","2.88","2.88","2.20","Turf"
"16/07/2016","17:35","Zephyros","Lingfield","2","3/1","3.00","4.97","1.77","-64.39","1000.00","20020.72","0.00","5.00","4.50","4.50","1.72","Turf"
"18/07/2016","18:35","Eternitys Gate","Beverley","4","3/1","3.00","4.32","3.70","-14.35","1000.00","23048.15","0.00","6.50","5.50","6.00","1.94","Turf"
"19/07/2016","16:00","Blenheim Warrior","Ffos Las","2","6/4","1.50","2.54","1.16","-54.33","1000.00","39270.08","0.00","3.50","2.50","2.25","1.38","Turf"
"19/07/2016","19:10","Darma","Nottingham","1","6/1","6.00","8.46","1.01","-88.06","24.00","183.69","0.00","6.00","6.00","6.50","2.55","Turf"
"20/07/2016","16:50","Our Lord","Lingfield","5","7/2","3.50","4.70","3.00","-36.17","1000.00","21176.60","0.00","3.50","3.50","4.33","2.67","A/W"
"20/07/2016","20:05","William Hunter","Sandown","3","7/1","7.00","9.86","1.55","-84.28","1000.00","10041.99","0.00","3.50","4.00","5.00","3.77","Turf"
"21/07/2016","19:45","Beau Et Sublime","Limerick","2","9/2","4.50","6.48","1.56","-75.93","1000.00","15332.10","0.00","5.00","6.50","7.00","2.98","Chase"
"23/07/2016","15:10","Dawaa","Newmarket","3","4/1","4.00","4.70","2.00","-57.45","1000.00","21176.60","0.00","7.50","6.50","6.00","2.71","Turf"
"25/07/2016","15:05","Charava","Ayr","2","7/2","3.50","5.31","1.95","-63.28","85.00","1500.75","0.00","6.00","6.00","5.50","1.97","Turf"
"25/07/2016","19:50","My Fantasea","Galway","9","9/2","4.50","5.93","5.70","-3.88","1000.00","16763.41","0.00","6.50","7.50","7.50","2.03","Turf"
"26/07/2016","19:20","Creggs Pipes","Galway","1","11/2","5.50","8.20","1.01","-87.68","8.00","-2.44","0.00","10.00","15.00","15.00","2.55","Turf"
"28/07/2016","20:20","Royal Reef","Ffos Las","6","5/1","5.00","9.19","8.20","-10.77","590.00","6320.02","0.00","5.00","5.50","6.00","2.58","Turf"
"30/07/2016","14:50","Paco's Angel","Newmarket","2","7/1","7.00","9.10","4.00","-56.04","980.00","10669.23","0.00","10.00","9.00","13.00","2.84","Turf"
