"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"01/05/2016","13:35","Abaco Ridge","Salisbury","4","12/1","12.00","14.26","11.00","-22.86","1000.00","6912.62","6.00","7.00","7.50","3.15","Turf"
"01/05/2016","14:10","Barkston Ash","Hamilton","3","15/8","1.88","2.80","2.77","-1.07","600.00","21328.57","5.50","3.75","3.00","1.47","Turf"
"01/05/2016","16:05","Orangey Red","Sligo","1","6/5","1.20","2.33","1.01","-56.65","3.80","63.09","2.75","2.63","2.50","1.03","Turf"
"01/05/2016","17:00","Bournemouth Belle","Salisbury","5","10/1","10.00","14.19","6.00","-57.72","1000.00","6947.22","9.00","9.00","8.50","3.35","Turf"
"02/05/2016","15:05","Billy's Boots","Bath","9","5/1","5.00","9.00","6.60","-26.67","1000.00","11011.11","6.00","6.50","5.00","2.06","Turf"
"02/05/2016","15:35","Ainippe","Curragh","3","8/11","0.73","1.84","1.26","-31.52","1000.00","54247.83","2.25","1.67","1.73","1.42","Turf"
"02/05/2016","16:10","Fascinating Rock","Curragh","3","11/10","1.10","2.16","2.12","-1.85","1000.00","46196.30","2.50","1.95","2.05","1.32","Turf"
"02/05/2016","17:35","Dunraven Storm","Kempton","1","4/1","4.00","5.44","1.01","-81.43","6.00","10.29","5.00","5.50","5.00","2.10","Chase"
"03/05/2016","14:20","Assassinate","Brighton","2","5/1","5.00","6.21","5.20","-16.26","1000.00","16003.06","6.00","8.50","4.50","1.42","Turf"
"03/05/2016","15:40","Bleu Et Noir","Sedgefield","1","6/5","1.20","2.34","1.01","-56.84","18.00","669.23","3.25","3.00","2.88","1.43","Hurdle"
"03/05/2016","17:20","Discoverie","Sedgefield","1","10/11","0.90","1.93","1.01","-47.67","2.30","19.17","1.80","1.73","1.70","1.36","Chase"
"03/05/2016","17:55","Clem Fandango","Catterick","1","4/6","0.67","1.76","1.01","-42.61","1.89","7.39","2.00","1.73","1.60","1.18","Turf"
"04/05/2016","16:55","Mulk","Chester","1","30/100","0.30","1.34","1.01","-24.63","1.39","3.73","1.36","1.36","1.33","1.07","Turf"
"04/05/2016","17:25","Soldier In Action","Chester","2","2/1","2.00","3.35","1.15","-65.67","1000.00","29750.75","6.50","6.50","4.50","1.96","Turf"
"04/05/2016","20:45","Bowson Fred","Chelmsford City","4","11/10","1.10","2.15","1.71","-20.47","1000.00","46411.63","2.63","2.63","2.38","1.26","A/W"
"05/05/2016","16:55","Reflektor","Chester","2","4/1","4.00","5.36","2.36","-55.97","1000.00","18556.72","6.00","5.00","5.00","2.26","Turf"
"05/05/2016","17:15","G For Ginger","Uttoxeter","1","7/2","3.50","4.99","1.01","-79.76","5.10","2.20","4.50","3.75","3.50","1.89","NHF"
"05/05/2016","18:00","Creme De La","Clonmel","2","4/5","0.80","1.88","1.40","-25.53","1000.00","53091.49","1.73","1.73","1.73","1.27","Turf"
"06/05/2016","14:00","Perfect Alchemy","Lingfield","2","4/1","4.00","5.71","1.53","-73.20","1000.00","17413.13","4.50","4.50","4.00","2.96","A/W"
"06/05/2016","14:40","Linguistic","Chester","2","11/10","1.10","2.19","1.28","-41.55","1000.00","45562.10","2.75","2.75","2.88","1.15","Turf"
"06/05/2016","15:00","Encore d'Or","Lingfield","1","2/5","0.40","1.45","1.01","-30.34","2.18","50.34","2.25","1.95","1.80","1.20","A/W"
"06/05/2016","17:20","Henry Howard","Downpatrick","5","8/13","0.61","1.67","1.66","-0.60","1000.00","59780.24","2.50","2.00","1.80","1.12","Hurdle"
"06/05/2016","17:20","Indira","Chester","1","7/1","7.00","9.86","1.01","-89.76","11.50","16.63","7.00","8.50","8.50","2.90","Turf"
