"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"02/05/2016","12:30","Beggars Cross","Warwick","4","3/1","3.00","4.10","3.00","-26.83","230.00","5509.76","0.00","2.88","3.75","4.00","1.61","Hurdle"
"02/05/2016","15:20","Boy In A Bentley","Kempton","UR","Evens","1.00","2.08","1.06","-49.04","1000.00","47976.92","3.00","1.67","1.73","1.73","1.15","Hurdle"
"02/05/2016","15:45","Sea The Springs","Warwick","PU","8/1","8.00","11.00","5.90","-46.36","1000.00","8990.91","0.00","4.50","4.00","5.00","3.59","Hurdle"
"02/05/2016","17:00","Planetoid","Kempton","3","7/1","7.00","9.55","2.10","-78.01","1000.00","10371.20","3.25","6.00","6.00","7.00","2.94","Hurdle"
"02/05/2016","18:05","Hear The Chimes","Kempton","5","9/1","9.00","12.50","11.00","-12.00","500.00","3900.00","15.50","9.00","10.00","11.00","4.40","Hurdle"
"03/05/2016","15:40","Bleu Et Noir","Sedgefield","1","6/5","1.20","2.34","1.01","-56.84","18.00","669.23","1.25","3.25","3.00","2.88","1.43","Hurdle"
"03/05/2016","16:45","Beaumont's Party","Sedgefield","4","11/10","1.10","2.16","2.00","-7.41","1000.00","46196.30","7.50","2.10","2.10","2.05","1.51","Hurdle"
"03/05/2016","17:45","Moabit","Exeter","1","6/5","1.20","2.19","1.01","-53.88","4.70","114.61","19.00","3.00","2.63","2.50","1.16","Hurdle"
"05/05/2016","15:30","Ballinalacken","Uttoxeter","3","100/30","3.33","4.92","1.60","-67.48","1000.00","20225.20","30.25","7.50","5.50","4.50","2.06","Hurdle"
"05/05/2016","17:40","Perseid","Carlisle","5","11/2","5.50","6.70","3.30","-50.75","1000.00","14825.37","6.00","5.50","6.00","7.00","2.26","Hurdle"
"05/05/2016","18:40","Jovial Joey","Carlisle","2","11/8","1.38","2.46","1.41","-42.68","1000.00","40550.41","0.50","2.50","2.25","2.00","1.17","Hurdle"
"08/05/2016","14:00","Red Tornado","Ludlow","1","1/10","0.10","1.10","1.01","-8.18","1.27","15.45","0.00","1.80","1.57","1.45","1.05","Hurdle"
"09/05/2016","18:00","Marju's Quest","Towcester","3","11/4","2.75","3.90","3.25","-16.67","1000.00","25541.03","0.00","3.50","3.50","3.50","1.89","Hurdle"
"10/05/2016","13:50","Boa Island","Sedgefield","2","6/4","1.50","2.54","1.40","-44.88","1000.00","39270.08","13.25","2.50","2.50","2.50","1.39","Hurdle"
"10/05/2016","15:40","Moabit","Wincanton","1","4/11","0.36","1.41","1.01","-28.37","1.45","2.84","0.00","1.67","1.73","1.67","1.08","Hurdle"
"10/05/2016","15:50","Marcus Antonius","Sedgefield","FE","7/2","3.50","4.54","4.20","-7.49","1000.00","21926.43","29.00","6.00","7.50","5.00","1.76","Hurdle"
"10/05/2016","16:10","Thundering Home","Wincanton","2","3/1","3.00","4.92","1.51","-69.31","160.00","3152.03","0.00","5.00","4.00","4.00","1.61","Hurdle"
