"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"14/03/2017","13:30","Bunk Off Early","Cheltenham","12","6/1","6.00","7.94","7.20","-9.32","1000.00","12494.46","0.75","7.00","7.00","8.00","2.77","Hurdle"
"14/03/2017","13:30","Labaik","Cheltenham","1","25/1","25.00","42.00","1.01","-97.60","40.00","-4.76","100.00","51.00","51.00","41.00","10.69","Hurdle"
"14/03/2017","14:10","Some Plan","Cheltenham","6","20/1","20.00","46.27","44.00","-4.91","1000.00","2061.23","0.00","29.00","29.00","29.00","4.20","Chase"
"14/03/2017","14:50","Clarcam","Cheltenham","9","50/1","50.00","90.09","55.00","-38.95","1000.00","1010.00","54.25","26.00","26.00","41.00","15.50","Chase"
"14/03/2017","14:50","Un Temps Pour Tout","Cheltenham","1","9/1","9.00","11.61","1.01","-91.30","14.00","20.59","13.55","13.00","13.00","17.00","3.40","Chase"
"14/03/2017","15:30","Petit Mouchoir","Cheltenham","3","6/1","6.00","8.00","3.05","-61.88","1000.00","12400.00","0.00","8.50","8.50","10.00","2.83","Hurdle"
"14/03/2017","15:30","Footpad","Cheltenham","4","14/1","14.00","18.06","5.00","-72.31","1000.00","5437.10","1.00","17.00","17.00","19.00","4.97","Hurdle"
"14/03/2017","16:50","Martello Tower","Cheltenham","PU","11/1","11.00","13.38","7.20","-46.19","1000.00","7373.84","47.00","13.00","13.00","13.00","4.82","Chase"
"14/03/2017","16:50","Haymount","Cheltenham","3","33/1","33.00","67.66","10.50","-84.48","1000.00","1377.98","43.00","21.00","21.00","23.00","10.25","Chase"
"14/03/2017","16:50","Edwulf","Cheltenham","PU","5/1","5.00","6.86","1.52","-77.84","1000.00","14477.26","0.00","5.50","5.50","6.00","3.10","Chase"
"14/03/2017","16:50","A Genie In Abottle","Cheltenham","5","4/1","4.00","5.01","3.95","-21.16","1000.00","19860.08","0.75","6.00","6.00","6.00","2.28","Chase"
