"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"01/05/2016","16:40","Face Value","Sligo","3","100/30","3.33","4.59","1.90","-58.61","1000.00","21686.49","3.75","5.50","4.50","5.00","2.20","Turf"
"02/05/2016","14:30","Fitzwilly","Bath","3","15/8","1.88","2.94","1.38","-53.06","1000.00","33913.61","8.30","7.00","5.50","5.50","1.48","Turf"
"03/05/2016","19:25","Taysh","Catterick","1","3/1","3.00","4.33","1.01","-76.67","4.50","3.93","2.50","6.50","6.00","5.00","1.70","Turf"
"08/05/2016","17:10","Radar O'reilly","Leopardstown","2","6/1","6.00","10.00","4.50","-55.00","170.00","1600.00","1.25","5.50","9.00","9.00","1.91","Turf"
"09/05/2016","17:10","Dominannie","Musselburgh","8","6/1","6.00","8.40","7.80","-7.14","1000.00","11804.76","0.75","6.50","5.50","4.50","2.52","Turf"
"10/05/2016","18:25","Dark Amber","Chepstow","5","13/8","1.63","2.75","2.64","-4.00","1000.00","36263.64","9.75","3.75","3.75","4.00","1.64","Turf"
"10/05/2016","18:25","Owners Day","Chepstow","1","8/1","8.00","12.21","1.01","-91.73","34.00","178.46","6.95","5.00","6.50","6.50","4.54","Turf"
"12/05/2016","18:25","Riviera Sun","Tipperary","4","4/1","4.00","5.50","3.40","-38.18","1000.00","18081.82","18.85","5.50","6.00","6.50","2.00","Chase"
"14/05/2016","15:05","Brandenburg Gate","Bangor-On-Dee","4","9/2","4.50","6.89","6.00","-12.92","1000.00","14413.79","19.10","6.50","5.50","6.50","1.42","Hurdle"
"15/05/2016","17:30","Rabbie The Bard","Navan","6","7/2","3.50","4.93","2.00","-59.43","1000.00","20183.98","17.50","6.00","8.00","7.50","1.69","Turf"
"16/05/2016","17:35","Kazoey","Redcar","14","14/1","14.00","19.67","16.00","-18.66","600.00","2950.33","3.75","7.00","10.00","11.00","5.50","Turf"
"18/05/2016","15:30","Chantecler","Bath","2","8/1","8.00","11.00","3.35","-69.55","1000.00","8990.91","3.25","7.00","19.00","9.00","2.84","Turf"
"18/05/2016","19:05","Ionization","Dundalk","2","5/1","5.00","7.00","1.72","-75.43","500.00","7042.86","6.50","7.00","7.00","7.00","2.26","A/W"
"19/05/2016","18:45","Arcamist","Ripon","1","7/1","7.00","9.37","1.01","-89.22","12.00","28.07","24.75","7.00","9.00","10.00","1.99","Turf"
"20/05/2016","18:55","Whizzzey Rascal","Downpatrick","3","11/2","5.50","8.00","3.20","-60.00","990.00","12275.00","39.50","4.00","3.75","4.00","2.52","Hurdle"
"21/05/2016","19:05","Roman Flight","Stratford","7","6/1","6.00","8.00","7.60","-5.00","1000.00","12400.00","18.00","7.00","10.00","9.00","2.25","Hurdle"
"22/05/2016","16:45","Jennies Jewel","Curragh","1","7/4","1.75","2.71","1.01","-62.73","2.74","1.11","2.75","5.00","3.50","3.75","1.37","Turf"
"25/05/2016","16:35","Shareni","Lingfield","3","16/1","16.00","20.34","12.00","-41.00","1000.00","4816.42","59.05","6.50","7.00","11.00","5.82","Turf"
"25/05/2016","18:50","On The Bill","Kempton","1","9/2","4.50","6.00","1.04","-82.67","250.00","4066.67","5.25","4.00","4.00","4.00","2.16","A/W"
"27/05/2016","15:50","Summer Collection","Brighton","3","9/1","9.00","12.11","3.80","-68.62","1000.00","8157.64","5.80","4.50","5.00","6.00","4.10","Turf"
"27/05/2016","18:30","Le Laitier","Pontefract","6","25/1","25.00","34.00","6.00","-82.35","1000.00","2841.18","2.90","6.50","9.00","9.00","7.25","Turf"
"28/05/2016","13:55","Magnification","Navan","2","7/4","1.75","3.15","1.50","-52.38","1000.00","31646.03","2.25","3.00","2.50","2.88","1.36","Turf"
"30/05/2016","13:45","Overhaugh Street","Redcar","9","11/2","5.50","6.91","7.40","7.09","210.00","2939.07","14.55","5.00","5.50","3.75","2.40","Turf"
"31/05/2016","18:10","Pleaseletmewin","Wolverhampton","1","6/4","1.50","2.60","1.01","-61.15","6.00","130.77","5.35","4.00","4.00","3.50","1.60","A/W"
"01/06/2016","20:40","Sureness","Chelmsford City","4","11/1","11.00","14.17","6.20","-56.25","1000.00","6957.16","0.00","6.50","9.00","9.00","4.00","A/W"
"02/06/2016","18:20","Elusive Beauty","Fairyhouse","1","3/1","3.00","4.94","1.01","-79.55","80.00","1519.43","4.10","6.00","4.00","3.75","1.68","Turf"
