"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"02/05/2016","14:30","Fitzwilly","Bath","3","15/8","1.88","2.94","1.38","-53.06","1000.00","33913.61","8.30","7.00","5.50","5.50","1.48","Turf"
"03/05/2016","15:00","Fizzy Dancer","Fakenham","5","8/1","8.00","12.50","12.00","-4.00","1000.00","7900.00","4.55","7.00","6.00","7.00","3.70","Hurdle"
"03/05/2016","18:55","Just Hiss","Catterick","3","11/4","2.75","3.80","1.44","-62.11","1000.00","26215.79","1.75","5.00","5.50","5.00","1.33","Turf"
"07/05/2016","14:25","Ami Desbois","Hexham","1","4/6","0.67","1.73","1.01","-41.62","1.88","8.67","55.55","1.33","1.45","1.57","1.11","Hurdle"
"09/05/2016","18:40","Grey Sky Blue","Roscommon","2","4/1","4.00","6.20","1.14","-81.61","20.00","222.58","0.95","3.25","3.25","3.25","2.78","Turf"
"13/05/2016","18:15","Fastnet Tempest","Hamilton","2","11/8","1.38","2.40","1.06","-55.83","1000.00","41566.67","5.50","2.25","2.05","2.25","1.23","Turf"
"15/05/2016","15:35","Gran Canaria Queen","Ripon","6","8/1","8.00","9.96","3.00","-69.88","1000.00","9940.16","14.75","7.00","6.00","6.00","3.00","Turf"
"16/05/2016","15:25","My Lucille","Redcar","2","2/1","2.00","3.60","1.60","-55.56","1000.00","27677.78","2.80","3.00","2.50","2.38","1.44","Turf"
"20/05/2016","20:40","Rose Eclair","Catterick","8","12/1","12.00","18.18","8.00","-56.00","1000.00","5400.55","14.65","5.50","5.50","6.00","3.73","Turf"
"23/05/2016","16:30","Opal Tiara","Leicester","2","4/1","4.00","5.70","4.00","-29.82","1000.00","17443.86","18.00","5.00","8.00","6.00","2.22","Turf"
"25/05/2016","14:00","Bourbonisto","Hamilton","8","100/30","3.33","5.66","5.60","-1.06","1000.00","17567.84","0.30","4.50","3.25","3.25","1.81","Turf"
"27/05/2016","16:00","Visage Blanc","Bath","5","9/2","4.50","6.26","3.75","-40.10","1000.00","15874.44","12.00","5.00","5.00","4.50","2.84","Turf"
"28/05/2016","17:00","Sky Khan","Cartmel","6","9/2","4.50","7.08","5.00","-29.38","1000.00","14024.29","9.05","7.00","5.50","5.50","2.04","Hurdle"
"02/06/2016","19:20","Pacodali","Fairyhouse","2","8/13","0.61","1.72","1.59","-7.56","1000.00","58039.53","3.05","1.91","1.73","1.73","1.10","Turf"
"03/06/2016","17:30","Ifandbutwhynot","Catterick","3","7/1","7.00","10.82","1.72","-84.10","1000.00","9142.14","0.00","7.00","7.00","7.00","2.07","Turf"
"06/06/2016","19:00","Craftsmanship","Windsor","7","8/1","8.00","10.93","1.65","-84.90","1000.00","9049.13","7.05","4.00","8.00","6.00","2.68","Turf"
"08/06/2016","15:10","Roderic's Secret","Haydock","5","9/1","9.00","10.50","1.96","-81.33","1000.00","9423.81","2.85","7.00","9.00","13.00","4.30","Turf"
"08/06/2016","17:30","High On Light","Beverley","8","8/1","8.00","11.50","9.40","-18.26","940.00","8073.91","12.85","7.00","13.00","11.00","4.10","Turf"
"09/06/2016","15:15","Sixties Habana","Yarmouth","1","1/8","0.13","1.13","1.01","-10.62","1.16","2.65","1.60","1.22","1.18","1.18","1.04","Turf"
"12/06/2016","16:40","Dawn Horizons","Doncaster","1","15/8","1.88","2.89","1.01","-65.05","4.00","38.41","6.20","2.88","2.75","2.38","1.35","Turf"
"15/06/2016","14:20","Nikki Steel","Uttoxeter","1","2/1","2.00","3.35","1.01","-69.85","4.10","22.39","1.50","2.63","2.38","2.38","1.34","Hurdle"
"17/06/2016","13:40","Milrow","Market Rasen","1","11/8","1.38","2.54","1.01","-60.24","2.80","10.24","0.00","3.50","3.50","3.00","1.27","Hurdle"
"17/06/2016","15:20","Box Office","Market Rasen","5","5/2","2.50","3.86","3.10","-19.69","1000.00","25806.74","30.05","5.50","5.50","6.00","1.57","Chase"
"18/06/2016","17:40","Could Should Would","Down Royal","3","7/1","7.00","9.86","2.16","-78.09","230.00","2232.66","5.00","5.00","5.00","5.50","3.25","Turf"
"20/06/2016","16:15","Blagapar","Southwell","1","5/6","0.83","1.88","1.01","-46.28","25.00","1229.79","5.50","2.63","3.75","3.75","1.12","Hurdle"
"22/06/2016","16:10","Opal Tiara","Carlisle","1","7/2","3.50","5.73","1.01","-82.37","7.00","22.16","18.15","3.25","3.25","3.75","1.70","Turf"
"23/06/2016","16:10","Waseem Faris","Newmarket","8","11/2","5.50","7.31","6.40","-12.45","1000.00","13579.89","5.55","6.00","7.00","8.00","2.23","Turf"
"25/06/2016","13:55","My Cherry Blossom","Newcastle","9","7/1","7.00","10.14","5.60","-44.77","1000.00","9761.93","2.25","5.00","5.00","5.50","2.35","A/W"
"25/06/2016","20:10","Diamond Geyser","Lingfield","1","4/1","4.00","5.79","1.01","-82.56","15.50","167.70","10.15","6.50","7.00","7.00","2.42","A/W"
