"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"01/05/2016","15:55","Sixties Sue","Hamilton","4","11/4","2.75","4.80","3.60","-25.00","1000.00","20733.33","4.33","4.33","5.00","2.06","Turf"
"02/05/2016","14:05","Areema","Down Royal","9","3/1","3.00","4.16","3.95","-5.05","1000.00","23938.46","8.00","8.00","8.00","1.72","Hurdle"
"02/05/2016","14:20","Born To Boogie","Beverley","10","6/1","6.00","8.48","5.20","-38.68","630.00","7329.25","7.00","7.00","6.00","2.50","Turf"
"02/05/2016","14:35","Explained","Warwick","9","25/1","25.00","52.10","20.00","-61.61","1000.00","1819.39","15.00","17.00","19.00","7.20","Chase"
"02/05/2016","14:40","Fighting Days","Down Royal","14","4/1","4.00","5.73","3.00","-47.64","1000.00","17352.01","9.00","9.00","9.00","1.99","Hurdle"
"02/05/2016","14:50","Morando","Windsor","1","7/2","3.50","3.76","1.01","-73.14","4.40","17.02","3.00","4.50","4.00","1.48","Turf"
"02/05/2016","15:15","Round Tower","Down Royal","FE","4/1","4.00","5.08","4.30","-15.35","1000.00","19585.04","5.50","5.50","5.50","2.43","Hurdle"
"02/05/2016","16:20","Elegant Statesman","Down Royal","2","4/1","4.00","5.80","4.40","-24.14","1000.00","17141.38","5.50","5.50","5.50","3.29","Chase"
"02/05/2016","17:25","Heartless","Bath","6","11/4","2.75","4.09","3.75","-8.31","1000.00","24349.88","5.50","4.33","3.75","1.69","Turf"
"03/05/2016","14:10","Kilronan Castle","Sedgefield","4","Evens","1.00","2.11","1.46","-30.81","1000.00","47293.36","3.25","3.00","2.75","1.40","Hurdle"
"03/05/2016","14:20","Tomily","Brighton","1","4/11","0.36","1.26","1.01","-19.84","1.36","7.94","2.38","1.91","1.60","1.06","Turf"
"03/05/2016","14:30","Guanciale","Fakenham","3","3/1","3.00","4.40","2.52","-42.73","1000.00","22627.27","3.75","4.00","4.00","2.46","Chase"
"03/05/2016","16:35","All Together","Fakenham","2","4/5","0.80","1.88","1.19","-36.70","1000.00","53091.49","1.53","1.83","1.91","1.15","Hurdle"
"03/05/2016","17:55","Merry Banter","Catterick","3","9/2","4.50","5.67","3.55","-37.39","690.00","12069.31","6.50","9.00","9.00","1.42","Turf"
"03/05/2016","19:55","Silver Shuffle","Catterick","8","12/1","12.00","17.68","9.00","-49.10","100.00","465.61","6.50","9.00","10.00","4.35","Turf"
"04/05/2016","14:10","Letmestopyouthere","Chester","6","9/1","9.00","12.48","11.50","-7.85","1000.00","7912.82","8.50","8.50","9.00","2.44","Turf"
"04/05/2016","14:40","Mirsaalah","Chester","8","11/1","11.00","17.14","15.00","-12.49","1000.00","5734.31","17.00","17.00","19.00","3.20","Turf"
"04/05/2016","16:35","Dynamic Drive","Kelso","2","14/1","14.00","19.16","1.60","-91.65","1000.00","5119.21","6.50","6.50","6.50","4.93","Hurdle"
"04/05/2016","17:25","Red Verdon","Chester","1","5/2","2.50","3.87","1.01","-73.90","9.60","148.06","2.38","2.38","2.63","2.30","Turf"
"04/05/2016","17:45","Merhoob","Chelmsford City","4","9/2","4.50","5.41","1.80","-66.73","1000.00","18384.29","5.00","5.00","5.00","2.28","A/W"
"04/05/2016","19:15","Both Sides","Chelmsford City","1","5/4","1.25","2.43","1.01","-58.44","2.88","18.52","3.00","3.00","2.50","1.54","A/W"
"04/05/2016","19:45","Grey's Angel","Chelmsford City","6","8/1","8.00","11.21","9.60","-14.36","1000.00","8820.61","5.00","5.00","5.00","3.65","A/W"
"04/05/2016","20:00","Decade Player","Wetherby","1","4/1","4.00","5.02","1.01","-79.88","18.00","258.57","4.50","4.50","4.50","1.79","Chase"
"04/05/2016","20:15","First Mohican","Chelmsford City","3","4/1","4.00","5.40","5.70","5.56","1000.00","18418.52","4.00","4.00","4.00","2.12","A/W"
"04/05/2016","20:45","Welease Bwian","Chelmsford City","2","9/2","4.50","7.00","1.45","-79.29","1000.00","14185.71","4.50","4.50","4.50","1.68","A/W"
"05/05/2016","14:00","Cottersrock","Uttoxeter","UR","13/8","1.63","2.74","2.64","-3.65","1000.00","36396.35","2.75","2.75","2.63","1.26","Hurdle"
"05/05/2016","14:20","Whipcord","Newton Abbot","5","2/1","2.00","3.30","1.80","-45.45","1000.00","30203.03","2.75","2.63","2.63","1.25","Hurdle"
"05/05/2016","16:30","Shammick Boy","Newton Abbot","5","4/1","4.00","6.40","2.06","-67.81","1000.00","15525.00","6.00","5.00","5.00","1.39","Hurdle"
"05/05/2016","19:40","Snowed In","Carlisle","3","9/1","9.00","11.66","11.00","-5.66","290.00","2387.14","12.00","9.00","13.00","3.10","Hurdle"
"05/05/2016","19:50","Lady Persephone","Wincanton","1","6/5","1.20","2.41","1.01","-58.09","2.64","9.54","4.00","4.00","3.00","1.50","Hurdle"
"05/05/2016","20:10","Wolf Sword","Carlisle","2","4/1","4.00","5.80","1.50","-74.14","1000.00","17141.38","5.00","4.50","5.00","2.09","Chase"
"06/05/2016","14:20","Mystic Sky","Market Rasen","1","7/4","1.75","2.86","1.01","-64.69","4.80","67.83","2.75","2.88","2.50","1.50","Hurdle"
"06/05/2016","15:00","Bertie Blu Boy","Lingfield","6","9/1","9.00","11.86","10.00","-15.68","1000.00","8331.70","4.50","6.00","8.00","3.30","A/W"
"06/05/2016","15:45","Sign of The Kodiac","Chester","7","22/1","22.00","34.00","30.00","-11.76","1000.00","2841.18","21.00","21.00","23.00","5.50","Turf"
"06/05/2016","16:50","Dark Intention","Chester","2","8/1","8.00","9.38","4.20","-55.22","1000.00","10560.98","13.00","13.00","11.00","2.76","Turf"
"06/05/2016","20:05","St Killenagh","Downpatrick","6","10/1","10.00","14.56","4.00","-72.53","1000.00","6768.13","8.00","13.00","12.00","3.55","Chase"
"07/05/2016","13:50","Move To The Groove","Hexham","1","7/2","3.50","4.89","1.01","-79.35","8.20","67.69","8.00","9.00","9.00","2.13","Hurdle"
"07/05/2016","14:15","Ch'tibello","Haydock","3","9/2","4.50","6.63","5.70","-14.03","1000.00","14982.96","5.00","5.00","5.00","1.73","Hurdle"
"07/05/2016","14:25","Ami Desbois","Hexham","1","4/6","0.67","1.73","1.01","-41.62","1.88","8.67","1.33","1.45","1.57","1.11","Hurdle"
"07/05/2016","16:20","Pincode","Wexford","3","7/1","7.00","9.67","3.20","-66.91","1000.00","10241.26","10.00","10.00","10.00","2.74","Turf"
"08/05/2016","13:55","Cosy Club","Leopardstown","5","12/1","12.00","16.30","8.00","-50.92","1000.00","6034.97","9.00","21.00","21.00","3.49","Turf"
"08/05/2016","14:30","Wild Rover","Ludlow","1","3/1","3.00","4.91","1.01","-79.43","55.00","1020.16","6.50","6.00","5.00","2.30","Chase"
"08/05/2016","16:00","Mr Lando","Plumpton","2","2/1","2.00","3.00","1.74","-42.00","1000.00","33233.33","3.75","3.75","3.50","1.60","Hurdle"
"08/05/2016","16:15","Jayo Time","Ludlow","FE","9/2","4.50","5.80","4.60","-20.69","1000.00","17141.38","6.50","5.00","4.50","1.78","Chase"
"08/05/2016","17:10","Three Star General","Leopardstown","4","8/1","8.00","11.49","9.00","-21.67","1000.00","8603.22","11.00","9.00","10.00","2.23","Turf"
"09/05/2016","15:20","Silver Alliance","Brighton","5","7/1","7.00","8.87","7.60","-14.32","1000.00","11173.96","11.00","8.00","9.00","3.21","Turf"
"09/05/2016","16:30","Cambodia","Wolverhampton","1","5/6","0.83","2.04","1.01","-50.49","2.60","27.45","2.63","1.91","1.95","1.19","A/W"
"10/05/2016","16:40","Present Man","Wincanton","2","4/6","0.67","1.69","1.21","-28.40","1000.00","59071.60","1.73","1.83","1.83","1.10","Chase"
"10/05/2016","17:10","Never Complain","Wincanton","2","3/1","3.00","4.10","1.75","-57.32","1000.00","24290.24","6.00","5.00","4.33","2.36","Chase"
"10/05/2016","17:45","Evening Hush","Tipperary","1","3/1","3.00","4.97","1.01","-79.68","7.00","40.85","3.50","3.50","3.00","1.85","Turf"
"10/05/2016","18:25","Ixelles Diamond","Chepstow","4","6/1","6.00","8.20","1.93","-76.46","1000.00","12095.12","7.50","6.50","5.00","3.65","Turf"
"11/05/2016","13:50","Marshgate Lane","Lingfield","1","9/4","2.25","3.61","1.01","-72.02","5.60","55.12","3.75","4.00","3.50","2.01","A/W"
"11/05/2016","14:40","George Dryden","York","12","8/1","8.00","11.19","10.50","-6.17","570.00","4993.83","9.00","10.00","9.00","2.72","Turf"
"11/05/2016","15:15","Twilight Son","York","5","4/1","4.00","5.00","4.60","-8.00","1000.00","19900.00","4.50","4.50","4.50","2.05","Turf"
"11/05/2016","15:25","Star Of The Stage","Lingfield","1","8/1","8.00","11.05","1.01","-90.86","20.00","81.00","13.00","12.00","13.00","3.34","A/W"
"11/05/2016","16:10","Fountains Blossom","Worcester","1","5/2","2.50","3.61","1.01","-72.02","3.80","5.26","4.00","6.50","4.00","1.50","Hurdle"
"11/05/2016","17:20","Prendergast Hill","York","19","9/2","4.50","6.15","4.00","-34.96","250.00","3965.04","8.00","8.50","7.00","2.06","Turf"
