"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"10/05/2016","13:50","Boa Island","Sedgefield","2","6/4","1.50","2.54","1.40","-44.88","1000.00","39270.08","13.25","2.50","2.50","2.50","1.39","Hurdle"
"10/05/2016","14:20","San Benedeto","Sedgefield","1","2/11","0.18","1.33","1.01","-24.06","1.42","6.77","18.25","1.25","1.22","1.20","1.21","Chase"
"12/05/2016","14:50","Warriors Tale","Perth","1","30/100","0.30","1.33","1.01","-24.06","1.35","1.50","19.25","1.91","1.53","1.45","1.05","Chase"
"12/05/2016","15:25","Vosne Romanee","Perth","1","11/4","2.75","4.10","1.01","-75.37","7.00","70.73","0.00","3.50","3.50","3.50","1.59","Hurdle"
"13/05/2016","18:15","Fastnet Tempest","Hamilton","2","11/8","1.38","2.40","1.06","-55.83","1000.00","41566.67","5.50","2.25","2.05","2.25","1.23","Turf"
"18/05/2016","13:30","Northern Thunder","Ayr","2","7/2","3.50","4.65","2.12","-54.41","1000.00","21405.38","5.00","6.50","7.00","6.00","2.33","Turf"
"23/05/2016","20:05","Bargain Buy","Carlisle","1","9/4","2.25","3.80","1.01","-73.42","19.50","413.16","0.50","2.63","2.50","2.75","1.74","Turf"
"24/05/2016","15:00","Lilywhite Gesture","Hexham","8","14/1","14.00","18.87","18.00","-4.61","1000.00","5199.42","0.00","7.00","9.00","11.00","4.99","Hurdle"
"04/06/2016","14:05","Keltus","Hexham","1","6/5","1.20","2.31","1.01","-56.28","5.00","116.45","4.50","2.75","2.25","2.88","1.34","Chase"
"04/06/2016","15:25","Dal Harraild","Musselburgh","1","12/1","12.00","13.60","1.01","-92.57","20.00","47.06","30.75","13.00","12.00","11.00","4.90","Turf"
"05/06/2016","14:05","Rainy City","Perth","1","4/11","0.36","1.41","1.01","-28.37","1.45","2.84","0.00","0.00","0.00","0.00","1.09","Hurdle"
"05/06/2016","14:40","Vesperal Dream","Perth","5","3/1","3.00","5.00","4.50","-10.00","170.00","3300.00","16.75","4.00","3.50","3.50","1.93","Chase"
"05/06/2016","15:45","Prince Khurram","Perth","1","7/4","1.75","2.87","1.01","-64.81","3.85","34.15","9.00","3.25","3.00","3.25","1.59","Chase"
"05/06/2016","16:20","Witness In Court","Perth","5","15/2","7.50","9.50","6.60","-30.53","1000.00","10426.32","23.50","9.00","10.00","10.00","3.90","Chase"
"05/06/2016","16:20","Valco De Touzaine","Perth","3","7/2","3.50","5.88","1.56","-73.47","1000.00","16906.80","11.55","6.00","4.50","5.00","2.50","Chase"
"29/06/2016","16:10","Tangolan","Perth","1","5/1","5.00","6.80","1.01","-85.15","9.80","44.12","5.50","8.00","8.00","6.50","2.56","Hurdle"
"30/06/2016","14:10","Hills Of Dubai","Perth","3","2/1","2.00","3.35","2.00","-40.30","1000.00","29750.75","0.75","5.00","3.75","4.00","1.39","Hurdle"
"30/06/2016","16:10","Our Cat","Perth","3","5/1","5.00","6.40","2.62","-59.06","1000.00","15525.00","9.75","13.00","10.00","10.00","2.33","Chase"
"15/07/2016","18:40","Metronomic","Hamilton","7","10/1","10.00","11.37","5.60","-50.75","1000.00","8695.07","6.50","13.00","13.00","11.00","2.46","Turf"
"15/07/2016","20:15","Ventura Storm","Hamilton","1","8/1","8.00","9.48","1.01","-89.35","21.00","121.52","9.35","11.00","11.00","10.00","2.36","Turf"
"24/07/2016","16:25","His Kyllachy","Carlisle","1","4/1","4.00","5.76","1.01","-82.47","80.00","1288.89","4.75","7.00","4.33","4.33","1.95","Turf"
"26/07/2016","19:30","Tangolan","Perth","4","3/1","3.00","4.19","2.54","-39.38","1000.00","23766.35","0.00","3.75","3.75","4.33","2.34","Chase"
"26/07/2016","20:30","Nefyn Bay","Perth","1","9/4","2.25","3.45","1.01","-70.72","6.80","97.10","0.75","2.88","3.00","3.00","1.71","Chase"
"27/07/2016","16:30","Silver Gent","Perth","3","14/1","14.00","16.69","2.36","-85.86","1000.00","5891.61","0.00","17.00","19.00","13.00","4.90","Hurdle"
"27/07/2016","17:40","Wizard's Sliabh","Perth","1","2/1","2.00","3.19","1.01","-68.34","60.00","1780.88","9.00","2.75","2.50","2.88","1.61","NHF"
"28/07/2016","18:45","Beauty Sleep","Ffos Las","3","9/2","4.50","7.12","6.00","-15.73","450.00","6220.22","3.00","4.50","5.50","6.00","1.79","Turf"
"05/08/2016","15:30","Symposium","Musselburgh","4","7/2","3.50","5.73","4.40","-23.21","1000.00","17352.01","4.50","3.75","3.50","3.50","2.81","Turf"
"05/08/2016","16:00","Dawn Missile","Musselburgh","6","9/2","4.50","6.20","2.00","-67.74","1000.00","16029.03","2.90","6.00","4.50","4.50","2.12","Turf"
"12/08/2016","13:30","Devil's Bridge","Newcastle","1","1/3","0.33","1.41","1.01","-28.37","1.90","34.75","0.20","1.57","1.36","1.36","1.05","A/W"
"12/08/2016","13:30","Lester Kris","Newcastle","3","11/4","2.75","4.29","2.50","-41.72","1000.00","23210.02","3.10","3.25","4.00","4.00","1.25","A/W"
"20/08/2016","15:30","Thyne For Gold","Perth","9","6/1","6.00","7.46","3.40","-54.42","1000.00","13304.83","0.00","6.50","6.00","6.00","2.56","Hurdle"
"20/08/2016","16:05","Nefyn Bay","Perth","3","9/4","2.25","3.40","2.96","-12.94","1000.00","29311.76","0.00","3.00","3.50","3.50","2.02","Chase"
"20/08/2016","16:40","Moabit","Perth","PU","2/1","2.00","3.41","2.90","-14.96","1000.00","29225.51","4.85","4.00","3.50","3.50","1.72","Hurdle"
"31/08/2016","17:20","Golden Reign","Carlisle","2","1/2","0.50","1.62","1.05","-35.19","1000.00","61628.40","1.25","1.57","1.67","1.80","0.00","Turf"
"02/09/2016","16:50","Under Control","Musselburgh","1","4/6","0.67","1.83","1.01","-44.81","7.60","315.30","11.65","2.00","2.00","2.10","1.28","Turf"
