"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"11/03/2014","17:15","Manyriverstocross","Cheltenham","7","17/2","8.50","10.50","5.70","-45.71","1000.00","9423.81","9.00","0.00","0.00","0.00","3.55","Chase"
"11/03/2014","17:15","Ahyaknowyerself","Cheltenham","4","33/1","33.00","65.00","3.10","-95.23","1000.00","1438.46","0.00","0.00","0.00","0.00","9.60","Chase"
"12/03/2014","13:30","Ballyalton","Cheltenham","2","20/1","20.00","36.00","7.20","-80.00","970.00","2594.44","8.55","0.00","0.00","0.00","6.42","Hurdle"
"12/03/2014","13:30","Red Sherlock","Cheltenham","9","7/2","3.50","4.73","4.00","-15.43","1000.00","21041.65","0.00","0.00","0.00","0.00","1.94","Hurdle"
"12/03/2014","13:30","Rathvinden","Cheltenham","3","11/2","5.50","7.92","6.80","-14.14","1000.00","12526.26","2.50","0.00","0.00","0.00","2.45","Hurdle"
"12/03/2014","14:05","Don Cossack","Cheltenham","FE","11/1","11.00","12.22","7.40","-39.44","1000.00","8083.31","4.00","0.00","0.00","0.00","4.24","Chase"
"12/03/2014","14:05","Samingarry","Cheltenham","PU","100/1","100.00","416.78","350.00","-16.02","1000.00","139.93","21.00","0.00","0.00","0.00","60.06","Chase"
"13/03/2014","14:05","Fingal Bay","Cheltenham","1","9/2","4.50","6.48","1.01","-84.41","8.40","29.63","0.00","0.00","0.00","0.00","2.06","Hurdle"
"13/03/2014","14:05","If In Doubt","Cheltenham","9","13/2","6.50","8.58","7.60","-11.42","1000.00","11555.01","0.50","0.00","0.00","0.00","2.44","Hurdle"
"13/03/2014","16:00","Tap Night","Cheltenham","PU","8/1","8.00","13.00","11.00","-15.38","1000.00","7592.31","6.75","0.00","0.00","0.00","3.45","Chase"
"13/03/2014","16:40","Indian Castle","Cheltenham","7","7/2","3.50","5.20","3.00","-42.31","1000.00","19130.77","0.00","0.00","0.00","0.00","2.23","Chase"
"14/03/2014","13:30","Plinth","Cheltenham","12","12/1","12.00","17.00","5.30","-68.82","1000.00","5782.35","6.00","0.00","0.00","0.00","4.86","Hurdle"
"14/03/2014","13:30","Guitar Pete","Cheltenham","3","7/1","7.00","8.58","2.24","-73.89","1000.00","11555.01","0.00","0.00","0.00","0.00","2.84","Hurdle"
"14/03/2014","13:30","Kentucky Hyden","Cheltenham","2","20/1","20.00","30.00","5.00","-83.33","1000.00","3233.33","10.00","0.00","0.00","0.00","7.40","Hurdle"
"14/03/2014","13:30","Tiger Roll","Cheltenham","1","10/1","10.00","12.02","1.01","-91.60","13.00","8.15","2.25","0.00","0.00","0.00","4.20","Hurdle"
"14/03/2014","14:05","Flaxen Flare","Cheltenham","5","20/1","20.00","29.44","3.30","-88.79","210.00","613.32","1.25","0.00","0.00","0.00","5.32","Hurdle"
"14/03/2014","14:05","Lac Fontana","Cheltenham","1","11/1","11.00","13.23","1.01","-92.37","75.00","466.89","0.00","0.00","0.00","0.00","4.00","Hurdle"
"14/03/2014","14:05","Minella Foru","Cheltenham","6","12/1","12.00","14.51","3.25","-77.60","1000.00","6791.80","3.75","0.00","0.00","0.00","4.00","Hurdle"
"14/03/2014","14:40","Briar Hill","Cheltenham","FE","2/1","2.00","3.60","3.05","-15.28","1000.00","27677.78","0.00","0.00","0.00","0.00","1.70","Hurdle"
"14/03/2014","14:40","Very Wood","Cheltenham","1","33/1","33.00","61.79","1.01","-98.37","160.00","158.94","3.00","0.00","0.00","0.00","9.46","Hurdle"
"14/03/2014","16:40","Ruacana","Cheltenham","12","50/1","50.00","90.00","26.00","-71.11","900.00","900.00","19.50","0.00","0.00","0.00","13.00","Hurdle"
"14/03/2014","16:40","Don Poli","Cheltenham","1","12/1","12.00","15.31","1.01","-93.40","24.00","56.76","0.00","0.00","0.00","0.00","4.43","Hurdle"
"10/03/2015","14:40","The Druids Nephew","Cheltenham","1","8/1","8.00","10.00","1.01","-89.90","14.50","45.00","16.10","0.00","0.00","0.00","3.13","Chase"
"10/03/2015","14:40","Annacotty","Cheltenham","16","28/1","28.00","31.38","12.00","-61.76","1000.00","3086.74","0.00","0.00","0.00","0.00","6.24","Chase"
"10/03/2015","17:15","Generous Ransom","Cheltenham","3","8/1","8.00","11.50","1.99","-82.70","1000.00","8595.65","0.00","0.00","0.00","0.00","3.03","Chase"
"10/03/2015","17:15","Dromnea","Cheltenham","7","33/1","33.00","59.52","10.00","-83.20","970.00","1529.70","11.75","0.00","0.00","0.00","10.61","Chase"
"10/03/2015","17:15","Irish Cavalier","Cheltenham","1","11/1","11.00","14.50","1.01","-93.03","75.00","417.24","2.30","0.00","0.00","0.00","3.50","Chase"
"10/03/2015","17:15","Leap Dearg","Cheltenham","8","20/1","20.00","33.53","6.00","-82.11","1000.00","2882.40","0.00","0.00","0.00","0.00","6.74","Chase"
"11/03/2015","14:40","Clondaw Kaempfer","Cheltenham","18","50/1","50.00","120.00","70.00","-41.67","1000.00","733.33","41.50","0.00","0.00","0.00","13.33","Hurdle"
"12/03/2015","14:05","Big Easy","Cheltenham","12","11/1","11.00","14.51","10.00","-31.08","1000.00","6791.80","4.50","0.00","0.00","0.00","3.75","Hurdle"
"12/03/2015","14:05","Regal Encore","Cheltenham","7","15/2","7.50","9.40","2.22","-76.38","1000.00","10538.30","0.00","0.00","0.00","0.00","4.03","Hurdle"
"12/03/2015","14:05","Knight Of Noir","Cheltenham","9","20/1","20.00","24.00","21.00","-12.50","820.00","3316.67","6.25","0.00","0.00","0.00","5.71","Hurdle"
"12/03/2015","14:40","Don Cossack","Cheltenham","3","5/2","2.50","3.80","2.60","-31.58","1000.00","26215.79","0.00","0.00","0.00","0.00","2.10","Chase"
"12/03/2015","14:40","Foxrock","Cheltenham","12","12/1","12.00","16.33","15.00","-8.14","1000.00","6023.70","0.75","0.00","0.00","0.00","4.60","Chase"
"12/03/2015","15:20","Zaidpour","Cheltenham","8","66/1","66.00","181.34","95.00","-47.61","900.00","396.31","2.50","0.00","0.00","0.00","28.36","Hurdle"
"12/03/2015","15:20","Saphir Du Rheu","Cheltenham","2","5/1","5.00","7.12","4.10","-42.42","1000.00","13944.94","0.00","0.00","0.00","0.00","2.83","Hurdle"
"12/03/2015","15:20","Cole Harden","Cheltenham","1","14/1","14.00","17.80","1.01","-94.33","36.00","102.25","15.80","0.00","0.00","0.00","4.91","Hurdle"
"12/03/2015","15:20","Un Temps Pour Tout","Cheltenham","6","9/1","9.00","11.74","6.00","-48.89","960.00","8077.17","2.80","0.00","0.00","0.00","4.23","Hurdle"
"12/03/2015","16:00","Rawnaq","Cheltenham","3","25/1","25.00","30.50","2.02","-93.38","1000.00","3178.69","0.00","0.00","0.00","0.00","6.54","Chase"
"12/03/2015","16:00","Darna","Cheltenham","1","33/1","33.00","50.00","1.01","-97.98","240.00","380.00","19.65","0.00","0.00","0.00","16.36","Chase"
