"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"01/05/2016","13:50","Oceanographer","Newmarket","4","5/2","2.50","3.71","2.10","-43.40","1000.00","26854.18","0.00","3.25","3.00","3.50","1.95","Turf"
"01/05/2016","14:25","Arabian Queen","Newmarket","2","7/1","7.00","8.21","1.50","-81.73","1000.00","12080.27","5.05","9.00","10.00","10.00","2.68","Turf"
"01/05/2016","14:35","Dark Shot","Salisbury","2","5/1","5.00","7.00","1.63","-76.71","85.00","1114.29","5.00","4.50","5.50","5.50","1.93","Turf"
"01/05/2016","15:40","Lumiere","Newmarket","16","13/2","6.50","8.29","6.40","-22.80","1000.00","11962.73","0.00","5.50","6.00","7.00","2.84","Turf"
"01/05/2016","16:15","Toy Theatre","Newmarket","6","12/1","12.00","17.78","17.00","-4.39","1000.00","5524.30","0.00","6.00","10.00","12.00","4.84","Turf"
"01/05/2016","16:25","Real Dominion","Salisbury","3","5/4","1.25","2.23","2.00","-10.31","1000.00","44743.05","1.70","3.50","3.00","2.88","1.52","Turf"
"01/05/2016","16:30","Tawdeea","Hamilton","1","5/1","5.00","6.60","1.01","-84.70","160.00","2324.24","4.30","6.00","4.00","5.00","1.93","Turf"
"01/05/2016","17:05","Dolphin Rock","Hamilton","4","13/2","6.50","12.20","4.30","-64.75","1000.00","8096.72","0.00","5.50","7.50","7.00","3.66","Turf"
"02/05/2016","13:45","Ballycoyle Girl","Beverley","3","33/1","33.00","65.34","14.00","-78.57","1000.00","1430.46","31.35","34.00","67.00","67.00","13.07","Turf"
"02/05/2016","14:20","Born To Boogie","Beverley","10","6/1","6.00","8.48","5.20","-38.68","630.00","7329.25","2.50","7.00","7.00","6.00","2.50","Turf"
"02/05/2016","14:20","Bellamay","Beverley","9","40/1","40.00","75.00","40.00","-46.67","350.00","366.67","0.00","15.00","29.00","34.00","15.00","Turf"
"02/05/2016","14:25","Paytheprice","Curragh","10","16/1","16.00","27.00","25.00","-7.41","670.00","2381.48","9.35","15.00","17.00","23.00","6.81","Turf"
"02/05/2016","14:55","Socialites Red","Beverley","2","6/1","6.00","7.47","1.30","-82.60","590.00","7798.26","4.50","11.00","10.00","9.00","2.56","Turf"
"02/05/2016","15:00","Collision Course","Curragh","5","66/1","66.00","537.87","100.00","-81.41","630.00","17.13","5.75","67.00","101.00","176.00","32.00","Turf"
"02/05/2016","15:05","Billy's Boots","Bath","9","5/1","5.00","9.00","6.60","-26.67","1000.00","11011.11","5.00","6.00","6.50","5.00","2.06","Turf"
"02/05/2016","16:00","Hala Madrid","Windsor","3","3/1","3.00","4.27","3.55","-16.86","1000.00","23319.20","2.55","6.00","7.00","6.50","2.10","Turf"
"02/05/2016","16:10","Success Days","Curragh","2","6/1","6.00","7.59","3.60","-52.57","1000.00","13075.23","4.75","7.00","10.00","10.00","2.47","Turf"
"02/05/2016","16:15","Kafoo","Bath","6","10/11","0.90","1.97","1.84","-6.60","1000.00","50661.42","0.30","3.50","2.10","1.91","1.39","Turf"
