"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"01/05/2016","14:25","Arabian Queen","Newmarket","2","7/1","7.00","8.21","1.50","-81.73","1000.00","12080.27","5.05","9.00","10.00","10.00","2.68","Turf"
"01/05/2016","15:40","Minding","Newmarket","1","11/10","1.10","2.12","1.01","-52.36","2.58","21.70","0.00","2.25","2.25","2.38","1.49","Turf"
"01/05/2016","16:50","Swiss Range","Newmarket","1","6/4","1.50","2.56","1.01","-60.55","4.80","87.50","0.00","3.25","3.00","2.88","1.43","Turf"
"04/05/2016","14:40","Somehow","Chester","1","8/15","0.53","1.58","1.01","-36.08","5.70","260.76","0.00","1.63","1.63","1.73","1.20","Turf"
"06/05/2016","16:50","Dufay","Chester","4","9/4","2.25","4.14","3.90","-5.80","1000.00","24054.59","17.25","4.50","3.50","3.50","1.76","Turf"
"06/05/2016","18:00","Camargue","Ascot","1","11/4","2.75","3.87","1.01","-73.90","4.60","18.86","0.20","6.50","5.50","5.50","1.68","Turf"
"06/05/2016","18:30","Ajman Princess","Ascot","2","5/4","1.25","2.40","1.07","-55.42","1000.00","41566.67","1.25","3.50","2.25","2.20","1.33","Turf"
"07/05/2016","14:50","Volunteer Point","Lingfield","8","5/2","2.50","3.51","3.10","-11.68","1000.00","28390.03","4.10","4.50","4.00","4.00","1.49","A/W"
"07/05/2016","15:25","Mountain Bell","Lingfield","3","15/8","1.88","3.12","1.79","-42.63","1000.00","31951.28","0.00","2.88","2.75","2.63","1.66","Turf"
"07/05/2016","15:50","Ridge Ranger","Nottingham","1","5/1","5.00","7.61","1.01","-86.73","8.60","13.01","9.75","6.00","5.00","6.00","2.79","Turf"
"09/05/2016","17:20","Tiggaliscious","Windsor","2","9/4","2.25","3.26","1.29","-60.43","400.00","12169.94","7.25","5.50","5.50","5.00","1.43","Turf"
"11/05/2016","15:45","So Mi Dar","York","1","4/5","0.80","1.95","1.01","-48.21","2.86","46.67","0.00","1.91","1.83","1.73","1.44","Turf"
"12/05/2016","14:40","Journey","York","3","5/4","1.25","2.49","1.70","-31.73","1000.00","40060.64","0.75","2.38","2.75","2.63","1.31","Turf"
"12/05/2016","16:15","Exist","York","7","7/2","3.50","5.20","4.00","-23.08","1000.00","19130.77","0.00","4.00","4.00","4.33","1.90","Turf"
"13/05/2016","14:10","Seafront","Newmarket","2","7/1","7.00","9.54","8.40","-11.95","1000.00","10382.18","0.00","5.00","6.00","5.50","1.97","Turf"
"13/05/2016","14:55","Stormy Clouds","York","10","3/1","3.00","4.60","4.30","-6.52","1000.00","21639.13","0.00","3.50","3.50","3.50","1.72","Turf"
"13/05/2016","15:30","Nemoralia","York","1","6/5","1.20","2.53","1.01","-60.08","2.62","3.56","0.00","2.10","2.00","2.00","1.30","Turf"
"14/05/2016","13:45","Kodi Da Capo","Thirsk","3","4/1","4.00","5.77","3.10","-46.27","1000.00","17231.02","1.00","5.00","4.33","4.00","1.81","Turf"
"14/05/2016","14:45","Eagle Top","Newbury","4","4/6","0.67","1.81","1.56","-13.81","1000.00","55148.62","2.50","1.73","1.83","1.80","1.39","Turf"
"14/05/2016","17:05","Beautiful Morning","Newbury","2","11/4","2.75","3.68","2.00","-45.65","390.00","10497.83","8.45","4.00","4.33","4.00","1.72","Turf"
"16/05/2016","18:30","Tiggaliscious","Windsor","3","9/4","2.25","3.58","2.50","-30.17","1000.00","27832.96","0.30","2.75","3.50","3.00","1.17","Turf"
"18/05/2016","16:20","Maleficent Queen","Ayr","1","3/1","3.00","5.10","1.01","-80.20","8.00","56.86","0.00","5.00","4.50","3.50","1.95","Turf"
"18/05/2016","16:40","Mistime","Bath","3","7/1","7.00","9.89","7.00","-29.22","500.00","4955.61","4.50","9.00","5.50","6.50","2.66","Turf"
"19/05/2016","16:00","Cajoled","Goodwood","9","15/2","7.50","8.60","5.70","-33.72","1000.00","11527.91","0.00","8.00","7.50","8.00","2.74","Turf"
"19/05/2016","18:45","Arcamist","Ripon","1","7/1","7.00","9.37","1.01","-89.22","12.00","28.07","24.75","7.00","9.00","10.00","1.99","Turf"
"21/05/2016","15:40","Ridge Ranger","Haydock","2","3/1","3.00","4.61","1.29","-72.02","1000.00","21591.97","0.00","5.50","6.00","4.50","1.74","Turf"
"21/05/2016","16:00","Romantic View","Goodwood","1","11/8","1.38","2.63","1.01","-61.60","2.70","2.66","2.25","2.63","2.50","2.50","1.36","Turf"
"21/05/2016","16:10","Mecca's Angel","Haydock","2","Evens","1.00","2.24","1.91","-14.73","26.00","1060.71","0.00","2.75","2.38","2.25","1.36","Turf"
"27/05/2016","15:30","Barroche","Bath","1","5/2","2.50","3.50","1.01","-71.14","4.20","20.00","2.00","6.00","3.50","3.75","1.60","Turf"
"28/05/2016","14:35","Journey","Haydock","1","Evens","1.00","2.17","1.01","-53.46","5.80","167.28","1.55","2.38","2.38","2.20","1.29","Turf"
"30/05/2016","15:55","Moorside","Leicester","4","4/6","0.67","1.79","1.30","-27.37","1000.00","55765.92","0.50","1.91","2.00","1.83","1.09","Turf"
"01/06/2016","16:00","Tears of The Sun","Nottingham","2","10/1","10.00","11.45","1.10","-90.39","510.00","4354.15","0.00","13.00","13.00","11.00","3.18","Turf"
"01/06/2016","18:10","Gerrard's Fur Coat","Chelmsford City","2","16/1","16.00","31.48","1.14","-96.38","990.00","3044.85","4.05","9.00","11.00","11.00","7.56","A/W"
"03/06/2016","16:30","Minding","Epsom","1","10/11","0.90","1.99","1.01","-49.25","5.00","151.26","0.20","1.91","2.50","2.50","1.39","Turf"
"04/06/2016","14:35","Oakley Girl","Epsom","4","10/1","10.00","17.19","5.80","-66.26","1000.00","5717.34","3.50","11.00","11.00","13.00","4.50","Turf"
"04/06/2016","15:10","Postponed","Epsom","1","8/11","0.73","1.79","1.01","-43.58","1.92","7.26","0.00","1.80","1.91","1.91","1.18","Turf"
"08/06/2016","14:20","Miss Rosina","Yarmouth","5","9/1","9.00","11.74","5.00","-57.41","370.00","3051.62","0.00","3.75","9.50","10.00","2.68","Turf"
"09/06/2016","14:30","Volition","Newbury","3","2/1","2.00","3.15","1.30","-58.73","1000.00","31646.03","4.50","3.75","3.00","3.00","1.44","Turf"
"09/06/2016","15:05","Abingdon","Newbury","1","2/1","2.00","3.15","1.01","-67.94","3.30","4.76","0.00","4.00","3.25","3.50","1.26","Turf"
"10/06/2016","18:10","Mistime","Goodwood","1","7/1","7.00","8.60","1.01","-88.26","8.20","-4.65","0.00","7.50","7.00","8.00","2.57","Turf"
"11/06/2016","14:00","Katebird","Musselburgh","4","5/2","2.50","3.87","2.62","-32.30","1000.00","25739.79","5.00","3.00","3.50","3.00","1.50","Turf"
"11/06/2016","14:15","Amlak","Chester","4","7/2","3.50","5.60","3.75","-33.04","1000.00","17757.14","3.70","3.00","3.25","3.75","1.75","Turf"
"11/06/2016","14:20","Groupie","Bath","2","11/4","2.75","3.90","1.24","-68.21","1000.00","25541.03","0.00","4.00","4.50","4.00","1.63","Turf"
"11/06/2016","15:00","Muwaary","York","3","4/1","4.00","5.20","4.50","-13.46","1000.00","19130.77","1.00","5.50","5.50","6.00","2.29","Turf"
"11/06/2016","15:20","Easton Angel","Sandown","1","2/1","2.00","3.07","1.01","-67.10","3.50","14.01","0.00","3.00","3.00","3.00","1.44","Turf"
"11/06/2016","18:10","Ventura Blues","Leicester","1","6/4","1.50","2.62","1.01","-61.45","3.00","14.50","0.00","3.75","3.75","3.75","1.21","Turf"
"14/06/2016","14:30","Ervedya","Ascot","5","9/2","4.50","6.06","4.80","-20.79","960.00","15741.58","0.00","4.50","5.00","5.50","1.90","Turf"
"15/06/2016","15:05","Roly Poly","Ascot","8","8/1","8.00","11.57","6.40","-44.68","1000.00","8543.04","7.75","9.00","13.00","12.00","3.45","Turf"
"15/06/2016","15:40","Usherette","Ascot","1","9/4","2.25","3.37","1.01","-70.03","4.90","45.40","0.00","2.88","3.00","3.25","1.83","Turf"
"15/06/2016","16:20","Found","Ascot","2","4/1","4.00","5.83","1.21","-79.25","1000.00","17052.66","4.50","4.50","5.00","5.00","1.89","Turf"
"16/06/2016","15:40","Even Song","Ascot","1","15/8","1.88","3.39","1.01","-70.21","4.00","17.99","5.75","4.50","4.50","3.75","1.71","Turf"
"16/06/2016","16:05","Blind Faith","Chelmsford City","1","7/4","1.75","2.98","1.01","-66.11","3.35","12.42","0.00","3.25","4.50","6.50","1.84","A/W"
"17/06/2016","14:30","Cuff","Ascot","5","2/1","2.00","3.41","2.10","-38.42","1000.00","29225.51","0.00","3.50","3.50","3.50","1.79","Turf"
"17/06/2016","16:20","Jet Setting","Ascot","6","9/4","2.25","4.30","3.00","-30.23","1000.00","23155.81","0.00","3.00","3.00","3.50","1.93","Turf"
"18/06/2016","16:10","Ridge Ranger","Ayr","4","5/2","2.50","3.73","1.87","-49.87","1000.00","26709.65","0.50","2.75","3.25","3.25","1.56","Turf"
"22/06/2016","16:10","Eternally","Carlisle","3","11/4","2.75","3.93","1.83","-53.44","1000.00","25345.29","0.00","3.50","3.00","2.75","1.61","Turf"
"22/06/2016","19:40","Lexington Sky","Bath","2","9/2","4.50","6.40","1.80","-71.88","1000.00","15525.00","0.00","6.00","7.00","8.00","1.86","Turf"
"23/06/2016","18:10","Fanfair","Newbury","5","8/1","8.00","10.00","4.00","-60.00","1000.00","9900.00","8.35","11.00","11.00","11.00","3.10","Turf"
"23/06/2016","18:40","Naifah","Newbury","2","6/5","1.20","2.32","1.66","-28.45","1000.00","43003.45","1.00","2.10","2.20","2.20","1.20","Turf"
