"Date","Time","Horse","Course","Fin Pos","SP","SP Num","BSP","IR Low","%DiffLOW","IR High","%DiffHIGH","LTO Distance To Winner (Same Code)","Evening Price","Breakfast Price","Morning Price","BFPlaceSP","Race Type"
"01/05/2016","13:40","New Lease Of Life","Hamilton","3","4/1","4.00","5.81","5.00","-13.94","1000.00","17111.70","1.75","6.00","5.50","5.50","1.93","Turf"
"01/05/2016","14:45","Mirsaale","Hamilton","3","5/2","2.50","3.49","1.38","-60.46","1000.00","28553.30","0.00","4.00","2.88","3.25","1.78","Turf"
"01/05/2016","15:20","Celtic Power","Hamilton","5","13/2","6.50","8.60","5.00","-41.86","1000.00","11527.91","0.00","6.50","7.00","6.00","2.70","Turf"
"02/05/2016","15:05","Cosmic Beau","Bath","7","7/2","3.50","4.98","1.74","-65.06","1000.00","19980.32","3.70","3.50","4.50","5.50","1.97","Turf"
"02/05/2016","15:05","Billy's Boots","Bath","9","5/1","5.00","9.00","6.60","-26.67","1000.00","11011.11","5.00","6.00","6.50","5.00","2.06","Turf"
"02/05/2016","16:00","Somethingthrilling","Windsor","4","6/4","1.50","2.73","2.12","-22.34","1000.00","36530.04","0.00","3.00","2.20","2.38","1.73","Turf"
"02/05/2016","16:50","Wharane","Bath","3","8/11","0.73","1.73","1.72","-0.58","1000.00","57703.47","4.75","2.75","2.25","2.10","1.26","Turf"
"02/05/2016","17:45","Pine Ridge","Windsor","5","7/1","7.00","9.30","6.00","-35.48","1000.00","10652.69","0.00","7.00","8.50","9.00","2.67","Turf"
"03/05/2016","14:20","Tomily","Brighton","1","4/11","0.36","1.26","1.01","-19.84","1.36","7.94","0.70","2.38","1.91","1.60","1.06","Turf"
"03/05/2016","17:55","Clem Fandango","Catterick","1","4/6","0.67","1.76","1.01","-42.61","1.89","7.39","0.75","2.00","1.73","1.60","1.18","Turf"
"03/05/2016","19:25","Gurkha Friend","Catterick","3","11/4","2.75","3.98","3.75","-5.78","1000.00","25025.63","0.95","6.50","5.50","4.00","1.66","Turf"
"04/05/2016","16:55","Mulk","Chester","1","30/100","0.30","1.34","1.01","-24.63","1.39","3.73","0.75","1.36","1.36","1.33","1.07","Turf"
"04/05/2016","17:25","Red Verdon","Chester","1","5/2","2.50","3.87","1.01","-73.90","9.60","148.06","0.10","2.38","2.38","2.63","2.30","Turf"
"05/05/2016","18:00","Creme De La","Clonmel","2","4/5","0.80","1.88","1.40","-25.53","1000.00","53091.49","0.50","1.73","1.73","1.73","1.27","Turf"
"06/05/2016","17:50","Who Told Jo Jo","Ripon","2","Evens","1.00","2.04","1.69","-17.16","1000.00","48919.61","0.00","2.00","2.00","2.05","1.49","Turf"
"06/05/2016","19:05","Shore Step","Ascot","4","6/1","6.00","8.20","1.70","-79.27","1000.00","12095.12","2.00","8.00","7.50","7.50","2.81","Turf"
"06/05/2016","19:50","Shabbah","Nottingham","1","1/2","0.50","1.50","1.01","-32.67","1.56","4.00","0.00","1.67","1.70","1.67","1.17","Turf"
"07/05/2016","16:25","Ataman","Nottingham","6","7/2","3.50","4.80","4.40","-8.33","1000.00","20733.33","2.50","4.50","5.00","7.00","2.03","Turf"
"07/05/2016","17:05","Kreb's Cycle","Lingfield","3","5/4","1.25","2.52","2.18","-13.49","1000.00","39582.54","0.00","2.88","2.25","2.38","1.45","Turf"
"07/05/2016","17:30","He's My Boy","Nottingham","1","4/1","4.00","5.09","1.01","-80.16","7.00","37.52","10.20","9.00","9.00","5.50","2.04","Turf"
"07/05/2016","17:35","Johnny B Goode","Thirsk","1","13/8","1.63","2.69","1.01","-62.45","5.00","85.87","4.00","3.25","3.00","2.75","1.26","Turf"
"09/05/2016","14:20","Let There Be Light","Brighton","1","5/1","5.00","7.40","1.01","-86.35","11.50","55.41","21.45","11.00","10.00","6.50","3.15","Turf"
"09/05/2016","14:40","Wheneverwecan","Musselburgh","1","3/1","3.00","4.12","1.01","-75.49","36.00","773.79","4.00","5.50","5.50","5.50","1.95","Turf"
"09/05/2016","15:50","Ifan","Brighton","2","10/11","0.90","1.98","1.35","-31.82","250.00","12526.26","0.00","2.75","2.25","2.10","1.33","Turf"
"09/05/2016","16:40","Madame Butterfly","Musselburgh","2","1/5","0.20","1.32","1.08","-18.18","520.00","39293.94","0.50","1.17","1.20","1.20","1.07","Turf"
"09/05/2016","17:10","Billy Roberts","Musselburgh","2","3/1","3.00","4.95","2.70","-45.45","300.00","5960.61","0.00","7.00","6.50","6.50","1.90","Turf"
"09/05/2016","18:40","Queen Alphabet","Roscommon","1","2/1","2.00","3.04","1.05","-65.46","9.40","209.21","0.75","3.50","2.75","2.75","1.70","Turf"
"10/05/2016","17:00","Scarpeta","Beverley","1","11/8","1.38","2.47","1.01","-59.11","3.00","21.46","0.50","3.50","4.00","3.10","1.44","Turf"
"10/05/2016","17:15","Sors","Tipperary","4","4/1","4.00","5.00","3.85","-23.00","1000.00","19900.00","0.00","5.00","4.50","5.00","2.02","Turf"
"10/05/2016","18:45","Tap Focus","Tipperary","10","6/1","6.00","8.09","4.40","-45.61","1000.00","12260.94","1.50","6.00","6.00","6.50","2.38","Turf"
"10/05/2016","18:55","Zauffaly","Chepstow","2","11/8","1.38","2.55","2.38","-6.67","1000.00","39115.69","2.00","2.88","3.25","2.38","1.12","Turf"
"11/05/2016","19:00","Glastonberry","Bath","3","9/2","4.50","6.20","3.00","-51.61","1000.00","16029.03","1.50","6.50","4.33","4.50","1.81","Turf"
"11/05/2016","20:10","Koybig","Naas","5","12/1","12.00","19.50","4.30","-77.95","1000.00","5028.21","1.20","11.00","11.00","12.00","3.40","Turf"
"12/05/2016","16:05","Boycie","Salisbury","3","3/1","3.00","3.59","2.40","-33.15","1000.00","27755.15","4.95","6.00","7.50","6.00","1.43","Turf"
"12/05/2016","18:15","Master Gunner","Newmarket","6","14/1","14.00","19.75","3.75","-81.01","500.00","2431.65","3.75","9.00","15.00","15.00","3.77","Turf"
"13/05/2016","15:20","Exceeding Power","Newmarket","1","17/2","8.50","10.46","1.01","-90.34","10.50","0.38","9.65","7.00","5.50","6.00","3.37","Turf"
"13/05/2016","16:15","Ulysses","Newbury","1","4/11","0.36","1.38","1.01","-26.81","1.48","7.25","0.50","2.38","1.73","1.57","1.10","Turf"
"13/05/2016","17:00","Secret Art","Newmarket","7","9/2","4.50","6.42","4.00","-37.69","1000.00","15476.32","3.20","5.00","5.50","6.00","2.26","Turf"
"13/05/2016","19:25","Sir Chauvelin","Hamilton","1","7/1","7.00","9.58","1.01","-89.46","19.00","98.33","0.00","9.00","8.50","7.50","2.38","Turf"
"14/05/2016","14:15","Bahamian Sunshine","Thirsk","5","6/1","6.00","7.72","2.02","-73.83","1000.00","12853.37","0.00","11.00","13.00","8.00","2.29","Turf"
"14/05/2016","17:45","Racing Knight","Doncaster","13","16/1","16.00","26.76","17.50","-34.60","500.00","1768.46","11.50","15.00","26.00","26.00","5.51","Turf"
"14/05/2016","18:45","Lawless Louis","Doncaster","1","15/8","1.88","2.94","1.01","-65.65","3.85","30.95","6.75","4.00","3.50","3.50","1.46","Turf"
"15/05/2016","15:00","Areyoutheway","Ripon","3","7/2","3.50","5.16","4.80","-6.98","1000.00","19279.84","7.00","4.00","4.00","4.50","2.50","Turf"
"15/05/2016","15:35","Glenrowan Rose","Ripon","1","11/4","2.75","4.20","1.01","-75.95","44.00","947.62","0.00","5.00","4.50","5.00","1.75","Turf"
